FDP,Power,Time,Method,q,LogTime
0.2711864406779661,0.9772727272727273,0.005852222442626953,LOO-cfBH,0.2,-2.2326791747255688
0.3230769230769231,1.0,0.005812883377075195,LOO-cfBH,0.3,-2.235608390135093
0.09375,0.6590909090909091,0.0035829544067382812,cfBH,0.1,-2.4457587182162395
0.3125,1.0,0.003701925277709961,cfBH,0.2,-2.431572351603036
0.3230769230769231,1.0,0.00357818603515625,cfBH,0.3,-2.446337083572597
0.038461538461538464,0.5681818181818182,0.29685211181640625,RO-cfBH,0.1,-0.5274598571406521
0.22448979591836735,0.8636363636363636,0.2931640148162842,RO-cfBH,0.2,-0.5328893393714244
0.2631578947368421,0.9545454545454546,0.29209399223327637,RO-cfBH,0.3,-0.5344773754700269
0.125,0.7954545454545454,0.0061798095703125,LOO-cfBH,0.1,-2.2090249074090305
0.2711864406779661,0.9772727272727273,0.0058557987213134766,LOO-cfBH,0.2,-2.2324138594983647
0.3230769230769231,1.0,0.005823850631713867,LOO-cfBH,0.3,-2.234789772200224
0.1111111111111111,0.5454545454545454,0.0035300254821777344,cfBH,0.1,-2.452222159561403
0.23214285714285715,0.9772727272727273,0.0035750865936279297,cfBH,0.2,-2.4467134345120405
0.3230769230769231,1.0,0.0035369396209716797,cfBH,0.3,-2.4513723539547256
0.038461538461538464,0.5681818181818182,0.29043102264404297,RO-cfBH,0.1,-0.5369569959487582
0.22448979591836735,0.8636363636363636,0.29236602783203125,RO-cfBH,0.2,-0.5340730926657424
0.2631578947368421,0.9545454545454546,0.2892279624938965,RO-cfBH,0.3,-0.5387597218555736
0.125,0.7954545454545454,0.005834102630615234,LOO-cfBH,0.1,-2.234025935255797
0.2711864406779661,0.9772727272727273,0.005785942077636719,LOO-cfBH,0.2,-2.2376259183355756
0.3230769230769231,1.0,0.0057871341705322266,LOO-cfBH,0.3,-2.23753644871537
0.13513513513513514,0.7272727272727273,0.003571033477783203,cfBH,0.1,-2.447206078357103
0.3230769230769231,1.0,0.003625154495239258,cfBH,0.2,-2.4406734801274355
0.3230769230769231,1.0,0.003570079803466797,cfBH,0.3,-2.447322075815566
0.038461538461538464,0.5681818181818182,0.29261207580566406,RO-cfBH,0.1,-0.5337077549449997
0.22448979591836735,0.8636363636363636,0.2891409397125244,RO-cfBH,0.2,-0.5388904118490735
0.2631578947368421,0.9545454545454546,0.3008718490600586,RO-cfBH,0.3,-0.5216184449279478
0.125,0.7954545454545454,0.005855083465576172,LOO-cfBH,0.1,-2.2324669095786733
0.2711864406779661,0.9772727272727273,0.005775928497314453,LOO-cfBH,0.2,-2.238378191722002
0.3230769230769231,1.0,0.0058939456939697266,LOO-cfBH,0.3,-2.229593869999147
0.17073170731707318,0.7727272727272727,0.003535032272338867,cfBH,0.1,-2.4516066170482103
0.2222222222222222,0.9545454545454546,0.003584146499633789,cfBH,0.2,-2.445614247145447
0.3125,1.0,0.0036461353302001953,cfBH,0.3,-2.438167216079163
0.038461538461538464,0.5681818181818182,0.2904188632965088,RO-cfBH,0.1,-0.5369751787449203
0.22448979591836735,0.8636363636363636,0.30040431022644043,RO-cfBH,0.2,-0.522293840329222
0.2631578947368421,0.9545454545454546,0.2897469997406006,RO-cfBH,0.3,-0.5379810523543492
0.125,0.7954545454545454,0.005908966064453125,LOO-cfBH,0.1,-2.2284885041924554
0.2711864406779661,0.9772727272727273,0.006179094314575195,LOO-cfBH,0.2,-2.209075175883177
0.3230769230769231,1.0,0.0058329105377197266,LOO-cfBH,0.3,-2.234114684511629
0.18181818181818182,0.8181818181818182,0.0036058425903320312,cfBH,0.1,-2.4429932359170885
0.25,0.9545454545454546,0.0038559436798095703,cfBH,0.2,-2.4138693180592874
0.3230769230769231,1.0,0.003590822219848633,cfBH,0.3,-2.444806096085286
0.038461538461538464,0.5681818181818182,0.2988152503967285,RO-cfBH,0.1,-0.5245972415482968
0.22448979591836735,0.8636363636363636,0.2971310615539551,RO-cfBH,0.2,-0.5270519454485932
0.2631578947368421,0.9545454545454546,0.2989671230316162,RO-cfBH,0.3,-0.524376567765881
0.125,0.7954545454545454,0.006248950958251953,LOO-cfBH,0.1,-2.2041928836609856
0.2711864406779661,0.9772727272727273,0.0058171749114990234,LOO-cfBH,0.2,-2.235287877587776
0.3230769230769231,1.0,0.005878925323486328,LOO-cfBH,0.3,-2.2307020563619973
0.17142857142857143,0.6590909090909091,0.0035750865936279297,cfBH,0.1,-2.4467134345120405
0.26666666666666666,1.0,0.0035729408264160156,cfBH,0.2,-2.446974176345504
0.3230769230769231,1.0,0.00351715087890625,cfBH,0.3,-2.453809000898032
0.038461538461538464,0.5681818181818182,0.28963494300842285,RO-cfBH,0.1,-0.5381490438551572
0.22448979591836735,0.8636363636363636,0.292896032333374,RO-cfBH,0.2,-0.5332865113753925
0.2631578947368421,0.9545454545454546,0.2894761562347412,RO-cfBH,0.3,-0.5383872027211414
0.125,0.7954545454545454,0.005851030349731445,LOO-cfBH,0.1,-2.2327676491655235
0.2711864406779661,0.9772727272727273,0.005857706069946289,LOO-cfBH,0.2,-2.2322724242903074
0.3230769230769231,1.0,0.005814790725708008,LOO-cfBH,0.3,-2.235465910910718
0.16666666666666666,0.6818181818181818,0.0035398006439208984,cfBH,0.1,-2.4510211960767676
0.29508196721311475,0.9772727272727273,0.0036711692810058594,cfBH,0.2,-2.4351955893146666
0.3230769230769231,1.0,0.004029035568237305,cfBH,0.3,-2.394798898652573
0.038461538461538464,0.5681818181818182,0.29692697525024414,RO-cfBH,0.1,-0.5273503457850232
0.22448979591836735,0.8636363636363636,0.3026721477508545,RO-cfBH,0.2,-0.5190275414968236
0.2631578947368421,0.9545454545454546,0.2993888854980469,RO-cfBH,0.3,-0.523764326426047
0.125,0.7954545454545454,0.00624394416809082,LOO-cfBH,0.1,-2.2045409889533865
0.2711864406779661,0.9772727272727273,0.0062100887298583984,LOO-cfBH,0.2,-2.2069021945717955
0.3230769230769231,1.0,0.005870819091796875,LOO-cfBH,0.3,-2.231301302120183
0.2222222222222222,0.7954545454545454,0.0037801265716552734,cfBH,0.1,-2.4224936582444787
0.25,0.9545454545454546,0.0037109851837158203,cfBH,0.2,-2.4305107795890524
0.3230769230769231,1.0,0.0038018226623535156,cfBH,0.3,-2.420008144850248
0.038461538461538464,0.5681818181818182,0.2969367504119873,RO-cfBH,0.1,-0.5273360485696127
0.22448979591836735,0.8636363636363636,0.3414421081542969,RO-cfBH,0.2,-0.46668292079782286
0.2631578947368421,0.9545454545454546,0.3033921718597412,RO-cfBH,0.3,-0.5179956290930504
0.125,0.7954545454545454,0.005827188491821289,LOO-cfBH,0.1,-2.2345409335772812
0.2711864406779661,0.9772727272727273,0.006321907043457031,LOO-cfBH,0.2,-2.199151894262094
0.3230769230769231,1.0,0.0062329769134521484,LOO-cfBH,0.3,-2.2053044817040077
0.18604651162790697,0.7954545454545454,0.003675222396850586,cfBH,0.1,-2.4347163755450594
0.29508196721311475,0.9772727272727273,0.0035858154296875,cfBH,0.2,-2.445412068351963
0.26666666666666666,1.0,0.004067897796630859,cfBH,0.3,-2.390629966987453
0.038461538461538464,0.5681818181818182,0.3030872344970703,RO-cfBH,0.1,-0.5184323549693324
0.22448979591836735,0.8636363636363636,0.2959887981414795,RO-cfBH,0.2,-0.5287247247430846
0.2631578947368421,0.9545454545454546,0.30501866340637207,RO-cfBH,0.3,-0.5156735863370836
0.10256410256410256,0.7954545454545454,0.005956172943115234,LOO-cfBH,0.1,-2.225032700585711
0.2711864406779661,0.9772727272727273,0.006507158279418945,LOO-cfBH,0.2,-2.186608629405344
0.3230769230769231,1.0,0.005831003189086914,LOO-cfBH,0.3,-2.234256721054951
0.175,0.75,0.0035479068756103516,cfBH,0.1,-2.450027787921293
0.2903225806451613,1.0,0.0036437511444091797,cfBH,0.2,-2.4384512914960834
0.3230769230769231,1.0,0.003735065460205078,cfBH,0.3,-2.427701782400998
0.038461538461538464,0.5681818181818182,0.2920689582824707,RO-cfBH,0.1,-0.5345145983260543
0.22448979591836735,0.8636363636363636,0.34493017196655273,RO-cfBH,0.2,-0.4622688150687781
0.2631578947368421,0.9545454545454546,0.2997100353240967,RO-cfBH,0.3,-0.5232987151360594
0.125,0.7954545454545454,0.006238222122192383,LOO-cfBH,0.1,-2.2049391655319024
0.2711864406779661,0.9772727272727273,0.006223917007446289,LOO-cfBH,0.2,-2.205936207060852
0.3230769230769231,1.0,0.0058591365814208984,LOO-cfBH,0.3,-2.232166378103413
0.1836734693877551,0.9090909090909091,0.0035619735717773438,cfBH,0.1,-2.4483093071282065
0.2833333333333333,0.9772727272727273,0.0036208629608154297,cfBH,0.2,-2.441187911661279
0.3230769230769231,1.0,0.003590822219848633,cfBH,0.3,-2.444806096085286
0.038461538461538464,0.5681818181818182,0.2959151268005371,RO-cfBH,0.1,-0.5288328336967938
0.22448979591836735,0.8636363636363636,0.2971839904785156,RO-cfBH,0.2,-0.5269745900464311
0.2631578947368421,0.9545454545454546,0.2987689971923828,RO-cfBH,0.3,-0.5246644706010667
0.125,0.7954545454545454,0.006315946578979492,LOO-cfBH,0.1,-2.1995615519621188
0.2711864406779661,0.9772727272727273,0.006199836730957031,LOO-cfBH,0.2,-2.2076197472401433
0.3230769230769231,1.0,0.005827903747558594,LOO-cfBH,0.3,-2.2344876295597973
0.1702127659574468,0.8863636363636364,0.00356292724609375,cfBH,0.1,-2.448193045721568
0.2903225806451613,1.0,0.004241943359375,cfBH,0.2,-2.372435134705623
0.30158730158730157,1.0,0.00356292724609375,cfBH,0.3,-2.448193045721568
0.038461538461538464,0.5681818181818182,0.2920520305633545,RO-cfBH,0.1,-0.5345397698749144
0.22448979591836735,0.8636363636363636,0.2928009033203125,RO-cfBH,0.2,-0.5334275877693084
0.2631578947368421,0.9545454545454546,0.30165815353393555,RO-cfBH,0.3,-0.5204849316207729
0.125,0.7954545454545454,0.006424903869628906,LOO-cfBH,0.1,-2.1921333659269457
0.2711864406779661,0.9772727272727273,0.00580596923828125,LOO-cfBH,0.2,-2.2361252695171077
0.3230769230769231,1.0,0.0058710575103759766,LOO-cfBH,0.3,-2.231283665437937
0.25862068965517243,0.9772727272727273,0.003612995147705078,cfBH,0.1,-2.4421326216941766
0.3230769230769231,1.0,0.004137992858886719,cfBH,0.2,-2.383210263150412
0.3230769230769231,1.0,0.003545999526977539,cfBH,0.3,-2.4502613266682816
0.038461538461538464,0.5681818181818182,0.2928760051727295,RO-cfBH,0.1,-0.5333162078607233
0.22448979591836735,0.8636363636363636,0.29407691955566406,RO-cfBH,0.2,-0.5315390594880242
0.2631578947368421,0.9545454545454546,0.3008840084075928,RO-cfBH,0.3,-0.5216008938315262
0.125,0.7954545454545454,0.006249904632568359,LOO-cfBH,0.1,-2.204126609514374
0.2711864406779661,0.9772727272727273,0.005840778350830078,LOO-cfBH,0.2,-2.2335292743009454
0.3230769230769231,1.0,0.006462812423706055,LOO-cfBH,0.3,-2.1895784488323295
0.1111111111111111,0.7272727272727273,0.0040051937103271484,cfBH,0.1,-2.397376474513143
0.24561403508771928,0.9772727272727273,0.0035619735717773438,cfBH,0.2,-2.4483093071282065
0.3125,1.0,0.0036177635192871094,cfBH,0.3,-2.441559824879538
0.038461538461538464,0.5681818181818182,0.29330015182495117,RO-cfBH,0.1,-0.5326877122096236
0.22448979591836735,0.8636363636363636,0.29589390754699707,RO-cfBH,0.2,-0.5288639768669438
0.2631578947368421,0.9545454545454546,0.2891840934753418,RO-cfBH,0.3,-0.5388255990188336
0.10256410256410256,0.7954545454545454,0.005827903747558594,LOO-cfBH,0.1,-2.2344876295597973
0.2711864406779661,0.9772727272727273,0.00583195686340332,LOO-cfBH,0.2,-2.234185696976637
0.3230769230769231,1.0,0.005840778350830078,LOO-cfBH,0.3,-2.2335292743009454
0.10810810810810811,0.75,0.0035638809204101562,cfBH,0.1,-2.448076815429986
0.24561403508771928,0.9772727272727273,0.0035681724548339844,cfBH,0.2,-2.44755416372057
0.3230769230769231,1.0,0.003759145736694336,cfBH,0.3,-2.424910836984974
0.038461538461538464,0.5681818181818182,0.2970418930053711,RO-cfBH,0.1,-0.5271822960766482
0.22448979591836735,0.8636363636363636,0.29256701469421387,RO-cfBH,0.2,-0.5337746397411506
0.2631578947368421,0.9545454545454546,0.2975900173187256,RO-cfBH,0.3,-0.5263816413254443
0.125,0.7954545454545454,0.0058460235595703125,LOO-cfBH,0.1,-2.2331394387612087
0.2711864406779661,0.9772727272727273,0.006046295166015625,LOO-cfBH,0.2,-2.2185106553978913
0.3230769230769231,1.0,0.006392240524291992,LOO-cfBH,0.3,-2.194346891953218
0.03333333333333333,0.6590909090909091,0.0035829544067382812,cfBH,0.1,-2.4457587182162395
0.2542372881355932,1.0,0.003582000732421875,cfBH,0.2,-2.4458743296855507
0.3125,1.0,0.003553152084350586,cfBH,0.3,-2.449386203155007
0.038461538461538464,0.5681818181818182,0.36573004722595215,RO-cfBH,0.1,-0.4368393579327613
0.22448979591836735,0.8636363636363636,0.29161715507507324,RO-cfBH,0.2,-0.5351869311932461
0.2631578947368421,0.9545454545454546,0.29462409019470215,RO-cfBH,0.3,-0.5307317455759119
0.125,0.7954545454545454,0.005926847457885742,LOO-cfBH,0.1,-2.2271762502624166
0.2711864406779661,0.9772727272727273,0.0058519840240478516,LOO-cfBH,0.2,-2.232696868171698
0.3230769230769231,1.0,0.0058858394622802734,LOO-cfBH,0.3,-2.230191587563732
0.13043478260869565,0.45454545454545453,0.0037338733673095703,cfBH,0.1,-2.427840415045551
0.23214285714285715,0.9772727272727273,0.0036406517028808594,cfBH,0.2,-2.438820867551165
0.3125,1.0,0.0037949085235595703,cfBH,0.3,-2.420798688330324
0.038461538461538464,0.5681818181818182,0.29984474182128906,RO-cfBH,0.1,-0.5231035626942088
0.22448979591836735,0.8636363636363636,0.2951209545135498,RO-cfBH,0.2,-0.529999953134678
0.2631578947368421,0.9545454545454546,0.2945129871368408,RO-cfBH,0.3,-0.5308955493743158
0.10256410256410256,0.7954545454545454,0.005830049514770508,LOO-cfBH,0.1,-2.2343277567503708
0.2711864406779661,0.9772727272727273,0.005999088287353516,LOO-cfBH,0.2,-2.2219147465925815
0.3230769230769231,1.0,0.0061037540435791016,LOO-cfBH,0.3,-2.214402974998869
0.20833333333333334,0.8636363636363636,0.003638029098510742,cfBH,0.1,-2.4391338315858646
0.2542372881355932,1.0,0.0035810470581054688,cfBH,0.2,-2.445989971939437
0.3230769230769231,1.0,0.004105329513549805,cfBH,0.3,-2.386651978575465
0.038461538461538464,0.5681818181818182,0.2913789749145508,RO-cfBH,0.1,-0.5355417889010343
0.22448979591836735,0.8636363636363636,0.2936699390411377,RO-cfBH,0.2,-0.5321405069219481
0.2631578947368421,0.9545454545454546,0.29642224311828613,RO-cfBH,0.3,-0.5280892106080807
0.125,0.7954545454545454,0.005830049514770508,LOO-cfBH,0.1,-2.2343277567503708
0.2711864406779661,0.9772727272727273,0.005978107452392578,LOO-cfBH,0.2,-2.223436283080317
0.3230769230769231,1.0,0.005899190902709961,LOO-cfBH,0.3,-2.22920754947384
0.22641509433962265,0.9318181818181818,0.003595113754272461,cfBH,0.1,-2.444287363397586
0.29508196721311475,0.9772727272727273,0.0035347938537597656,cfBH,0.2,-2.451635908821863
0.3125,1.0,0.003922939300537109,cfBH,0.3,-2.4063884116374106
0.038461538461538464,0.5681818181818182,0.2903292179107666,RO-cfBH,0.1,-0.5371092558014788
0.22448979591836735,0.8636363636363636,0.29414892196655273,RO-cfBH,0.2,-0.5314327389298932
0.2631578947368421,0.9545454545454546,0.2940359115600586,RO-cfBH,0.3,-0.5315996245540862
0.125,0.7954545454545454,0.00582122802734375,LOO-cfBH,0.1,-2.2349853883327997
0.2711864406779661,0.9772727272727273,0.005979061126708984,LOO-cfBH,0.2,-2.2233670065636755
0.3230769230769231,1.0,0.00623011589050293,LOO-cfBH,0.3,-2.205503874667025
0.22641509433962265,0.9318181818181818,0.0037841796875,cfBH,0.1,-2.4220282497974828
0.26666666666666666,1.0,0.003699779510498047,cfBH,0.2,-2.4318241570755195
0.2903225806451613,1.0,0.003750324249267578,cfBH,0.3,-2.4259311819842995
0.038461538461538464,0.5681818181818182,0.3036530017852783,RO-cfBH,0.1,-0.5176224212684439
0.22448979591836735,0.8636363636363636,0.2993462085723877,RO-cfBH,0.2,-0.5238262381246707
0.2631578947368421,0.9545454545454546,0.29790163040161133,RO-cfBH,0.3,-0.5259271199051798
0.125,0.7954545454545454,0.0060901641845703125,LOO-cfBH,0.1,-2.215370999076198
0.2711864406779661,0.9772727272727273,0.006190061569213867,LOO-cfBH,0.2,-2.2083050312647194
0.3230769230769231,1.0,0.006143093109130859,LOO-cfBH,0.3,-2.211612902151493
0.2692307692307692,0.8636363636363636,0.003900766372680664,cfBH,0.1,-2.408850059966085
0.2631578947368421,0.9545454545454546,0.0035789012908935547,cfBH,0.2,-2.4462502796517436
0.3125,1.0,0.004003047943115234,cfBH,0.3,-2.3976092084695377
0.038461538461538464,0.5681818181818182,0.2976350784301758,RO-cfBH,0.1,-0.5263158853879732
0.22448979591836735,0.8636363636363636,0.35431718826293945,RO-cfBH,0.2,-0.45060777911846345
0.2631578947368421,0.9545454545454546,0.2956860065460205,RO-cfBH,0.3,-0.5291692281409388
0.125,0.7954545454545454,0.0059850215911865234,LOO-cfBH,0.1,-2.222934278521355
0.2711864406779661,0.9772727272727273,0.0065059661865234375,LOO-cfBH,0.2,-2.1866881982082456
0.3230769230769231,1.0,0.006215810775756836,LOO-cfBH,0.3,-2.2065022149754014
0.2,0.8181818181818182,0.003671884536743164,cfBH,0.1,-2.4351109837463154
0.2786885245901639,1.0,0.0035588741302490234,cfBH,0.2,-2.448687371789624
0.3230769230769231,1.0,0.004227161407470703,cfBH,0.3,-2.3739511690066686
0.038461538461538464,0.5681818181818182,0.2948441505432129,RO-cfBH,0.1,-0.5304074838332805
0.22448979591836735,0.8636363636363636,0.35448217391967773,RO-cfBH,0.2,-0.4504055995866195
0.2631578947368421,0.9545454545454546,0.30072712898254395,RO-cfBH,0.3,-0.521827391866329
0.125,0.7954545454545454,0.005957126617431641,LOO-cfBH,0.1,-2.2249631689682228
0.2711864406779661,0.9772727272727273,0.006555318832397461,LOO-cfBH,0.2,-2.1834061805896883
0.3230769230769231,1.0,0.006151914596557617,LOO-cfBH,0.3,-2.210989702221777
0.1794871794871795,0.7272727272727273,0.0040361881256103516,cfBH,0.1,-2.3940285996178825
0.2542372881355932,1.0,0.003654956817626953,cfBH,0.2,-2.4371177497532113
0.3230769230769231,1.0,0.0038008689880371094,cfBH,0.3,-2.420117099813665
0.038461538461538464,0.5681818181818182,0.2999429702758789,RO-cfBH,0.1,-0.5229613121101596
0.22448979591836735,0.8636363636363636,0.2989339828491211,RO-cfBH,0.2,-0.5244247115082494
0.2631578947368421,0.9545454545454546,0.29752397537231445,RO-cfBH,0.3,-0.5264780317762504
0.125,0.7954545454545454,0.006194353103637695,LOO-cfBH,0.1,-2.2080040416995277
0.2711864406779661,0.9772727272727273,0.0061953067779541016,LOO-cfBH,0.2,-2.207937183448708
0.3230769230769231,1.0,0.005839824676513672,LOO-cfBH,0.3,-2.2336001911008916
0.20408163265306123,0.8863636363636364,0.003584146499633789,cfBH,0.1,-2.445614247145447
0.30158730158730157,1.0,0.003840923309326172,cfBH,0.2,-2.415564364188368
0.3230769230769231,1.0,0.0035581588745117188,cfBH,0.3,-2.448774664238795
0.038461538461538464,0.5681818181818182,0.2978239059448242,RO-cfBH,0.1,-0.5260404449208913
0.22448979591836735,0.8636363636363636,0.29552292823791504,RO-cfBH,0.2,-0.529408818603659
