Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
1.0,2.856661036246274,0.01606607437133789,Boston,RO-StabCP,RLM,1,-1.7940902269788073
0.9,2.8246657394254595,1.2325479984283447,Boston,RO-StabCP,RLM,100,0.09080384076604528
1.0,2.858456925002894,0.015691041946411133,Boston,LOO-StabCP,RLM,1,-1.8043482166073148
0.9,2.8240278975209048,0.015646934509277344,Boston,LOO-StabCP,RLM,100,-1.8055707351853227
1.0,2.841402003883812,0.015393972396850586,Boston,OracleCP,RLM,1,-1.8126492965154128
0.88,2.8034455600910673,1.2327158451080322,Boston,OracleCP,RLM,100,0.09086297836066651
1.0,2.787650606649028,0.9456450939178467,Boston,FullCP,RLM,1,-0.024271826254761784
0.86,2.7536631897847985,75.78712034225464,Boston,FullCP,RLM,100,1.879595405637853
1.0,2.451168011958637,0.011233091354370117,Boston,SplitCP,RLM,1,-1.9495007091534002
0.83,2.4920584536829047,0.00954437255859375,Boston,SplitCP,RLM,100,-2.0202526165942603
1.0,2.8616423348654028,0.014839887619018555,Boston,RO-StabCP,RLM,1,-1.8285693879131182
0.88,2.823717777555016,1.3151490688323975,Boston,RO-StabCP,RLM,100,0.11897498180079598
1.0,2.8613695455448154,0.014744043350219727,Boston,LOO-StabCP,RLM,1,-1.8313834008808478
0.88,2.822355818014175,0.014690160751342773,Boston,LOO-StabCP,RLM,100,-1.8329734517904688
1.0,2.8414020038837315,0.0156857967376709,Boston,OracleCP,RLM,1,-1.8044934170372542
0.92,2.892865727378632,1.1968278884887695,Boston,OracleCP,RLM,100,0.0780317005702402
1.0,2.787190832400624,0.924030065536499,Boston,FullCP,RLM,1,-0.034313897736419886
0.91,2.8308023178188604,75.3000009059906,Boston,FullCP,RLM,100,1.876794981426022
1.0,2.960378480515028,0.011647939682006836,Boston,SplitCP,RLM,1,-1.933750886987032
0.82,2.2916115366554926,0.010456085205078125,Boston,SplitCP,RLM,100,-1.9806308864121631
1.0,2.885023265146387,0.015684127807617188,Boston,RO-StabCP,RLM,1,-1.804539627356482
0.92,2.912260686000646,1.274824857711792,Boston,RO-StabCP,RLM,100,0.10545052315893727
1.0,2.876542879970834,0.01569080352783203,Boston,LOO-StabCP,RLM,1,-1.8043548155738016
0.92,2.9111417902400394,0.014567852020263672,Boston,LOO-StabCP,RLM,100,-1.8366044787390376
1.0,2.841402003883715,0.015377998352050781,Boston,OracleCP,RLM,1,-1.8131001899723185
0.89,2.8222748231395247,1.2533998489379883,Boston,OracleCP,RLM,100,0.09808963802200067
1.0,2.787743677179641,0.9151279926300049,Boston,FullCP,RLM,1,-0.03851815991660659
0.89,2.76212651290014,76.5036129951477,Boston,FullCP,RLM,100,1.8836819458307887
1.0,2.799597417338277,0.01155400276184082,Boston,SplitCP,RLM,1,-1.9372675329818931
0.87,2.504781272681359,0.009202241897583008,Boston,SplitCP,RLM,100,-2.036106354704705
1.0,2.8552893558701076,0.014929056167602539,Boston,RO-StabCP,RLM,1,-1.8259676480123492
0.89,2.842055638648138,1.2293360233306885,Boston,RO-StabCP,RLM,100,0.08967060797353138
1.0,2.8577034038299187,0.014707088470458984,Boston,LOO-StabCP,RLM,1,-1.8324732950744134
0.89,2.8412546064942465,0.014709949493408203,Boston,LOO-StabCP,RLM,100,-1.8323888184194292
1.0,2.8414020038838412,0.016906023025512695,Boston,OracleCP,RLM,1,-1.771958543863485
0.93,2.882837366289456,1.2500791549682617,Boston,OracleCP,RLM,100,0.09693751339009389
1.0,2.7859526209440166,0.9042680263519287,Boston,FullCP,RLM,1,-0.04370282493057938
