Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
0.91,2.859556751551614,1.167924404144287,Boston,OracleCP,RLM,100,0.06741473325113742
1.0,2.787685971352253,0.8979389667510986,Boston,FullCP,RLM,1,-0.046753181488614536
0.91,2.8108853836261365,71.66508603096008,Boston,FullCP,RLM,100,1.855307626559634
1.0,2.9663322236320218,0.01082611083984375,Boston,SplitCP,RLM,1,-1.9655275308302063
0.9,2.6758419066295094,0.010042190551757812,Boston,SplitCP,RLM,100,-1.9981715420941373
1.0,2.861625817759211,0.014741182327270508,Boston,RO-StabCP,RLM,1,-1.8314676821746005
0.91,2.87295507673654,1.20219087600708,Boston,RO-StabCP,RLM,100,0.07997342757968275
1.0,2.8616941518626504,0.015264034271240234,Boston,LOO-StabCP,RLM,1,-1.8163306675486663
0.91,2.872233449897409,0.014263153076171875,Boston,LOO-StabCP,RLM,100,-1.845784456797442
1.0,2.8414020038838044,0.01613593101501465,Boston,OracleCP,RLM,1,-1.7922059715046685
0.92,2.87769028194375,1.286194086074829,Boston,OracleCP,RLM,100,0.10930650836370376
1.0,2.7874601077625325,0.8954079151153564,Boston,FullCP,RLM,1,-0.04797907091334016
0.92,2.814131378480521,75.25295090675354,Boston,FullCP,RLM,100,1.8765235346631206
1.0,2.8411586386537286,0.010864019393920898,Boston,SplitCP,RLM,1,-1.9640094677814204
0.92,2.883323737198913,0.009668111801147461,Boston,SplitCP,RLM,100,-2.0146583360942723
1.0,2.8602216978458554,0.014738082885742188,Boston,RO-StabCP,RLM,1,-1.831559005370614
0.92,2.8973533467556574,1.2441840171813965,Boston,RO-StabCP,RLM,100,0.09488461808484698
1.0,2.8610987613567036,0.01465606689453125,Boston,LOO-StabCP,RLM,1,-1.8339825614259866
0.92,2.896035767477932,0.01577925682067871,Boston,LOO-StabCP,RLM,100,-1.8019134552634113
1.0,2.841402003883781,0.01544189453125,Boston,OracleCP,RLM,1,-1.811299418119919
0.91,2.8664169003017146,1.2186288833618164,Boston,OracleCP,RLM,100,0.08587146735155551
1.0,2.7877430427259133,0.9018261432647705,Boston,FullCP,RLM,1,-0.04487717897504923
0.91,2.818695647272948,75.77869915962219,Boston,FullCP,RLM,100,1.8795471457707649
1.0,2.9449345048202002,0.012161016464233398,Boston,SplitCP,RLM,1,-1.9150301235535567
0.9,2.774251722460011,0.010359048843383789,Boston,SplitCP,RLM,100,-1.9846801192079324
1.0,2.849305773089567,0.015196800231933594,Boston,RO-StabCP,RLM,1,-1.8182478454698725
0.91,2.8798174334895754,1.2421629428863525,Boston,RO-StabCP,RLM,100,0.09417856891208427
1.0,2.853867450832113,0.014827966690063477,Boston,LOO-StabCP,RLM,1,-1.8289183982519879
0.91,2.879192007242474,0.014822959899902344,Boston,LOO-StabCP,RLM,100,-1.8290650662728403
1.0,2.841402003883821,0.015550851821899414,Boston,OracleCP,RLM,1,-1.808245816835328
0.85,2.7854699927567856,1.2841689586639404,Boston,OracleCP,RLM,100,0.10862216780451044
1.0,2.787565602633583,0.9220359325408936,Boston,FullCP,RLM,1,-0.03525215378351734
0.85,2.734288311611106,76.76445388793945,Boston,FullCP,RLM,100,1.885160164641337
1.0,2.6749034847081417,0.01186680793762207,Boston,SplitCP,RLM,1,-1.9256660865643838
0.89,2.9027352963007806,0.009184122085571289,Boston,SplitCP,RLM,100,-2.036962351782173
1.0,2.8521282068590534,0.01536107063293457,Boston,RO-StabCP,RLM,1,-1.8135785138766711
0.85,2.801431229960878,1.2241871356964111,Boston,RO-StabCP,RLM,100,0.08784781142732737
1.0,2.8556176992289464,0.015304803848266602,Boston,LOO-StabCP,RLM,1,-1.8151722321013624
0.85,2.8001734805666114,0.01487112045288086,Boston,LOO-StabCP,RLM,100,-1.8276563086689377
1.0,2.841402003883764,0.015375137329101562,Boston,OracleCP,RLM,1,-1.8131809964628118
0.85,2.7847933768908524,1.284451961517334,Boston,OracleCP,RLM,100,0.10871786629946806
1.0,2.857268434112481,0.8848910331726074,Boston,FullCP,RLM,1,-0.05311020569255106
0.84,2.735353448153113,76.9678087234497,Boston,FullCP,RLM,100,1.8863091223544535
1.0,2.8771889225139198,0.011842012405395508,Boston,SplitCP,RLM,1,-1.9265744882977618
0.83,2.535385071308734,0.009566068649291992,Boston,SplitCP,RLM,100,-2.0192665068111464
1.0,2.872082565004422,0.015144824981689453,Boston,RO-StabCP,RLM,1,-1.8197357411443111
0.85,2.7996669286379063,1.24424409866333,Boston,RO-StabCP,RLM,100,0.0949055896016911
1.0,2.868265646340016,0.014971256256103516,Boston,LOO-StabCP,RLM,1,-1.8247417559560375
0.85,2.7986111978843993,0.01528787612915039,Boston,LOO-StabCP,RLM,100,-1.8156528448334988
1.0,2.841402003883798,0.01578688621520996,Boston,OracleCP,RLM,1,-1.801703521220729
0.9,2.824249016914548,1.2350659370422363,Boston,OracleCP,RLM,100,0.09169014409704357
1.0,2.787382815763455,0.9166860580444336,Boston,FullCP,RLM,1,-0.03777937382108775
0.89,2.792288000561095,74.52094006538391,Boston,FullCP,RLM,100,1.872278324788802
1.0,2.866715290990409,0.010853290557861328,Boston,SplitCP,RLM,1,-1.9644385701598754
0.87,2.440764476087732,0.009507894515991211,Boston,SplitCP,RLM,100,-2.0219156451366493
1.0,2.8529665630424312,0.014683008193969727,Boston,RO-StabCP,RLM,1,-1.8331849588475242
0.9,2.8435313246968317,1.2131609916687012,Boston,RO-StabCP,RLM,100,0.0839184374320705
1.0,2.8564705470860563,0.01469111442565918,Boston,LOO-StabCP,RLM,1,-1.8329452586306554
0.9,2.8415172377053297,0.01463007926940918,Boston,LOO-StabCP,RLM,100,-1.8347533207527666
1.0,2.84140200388379,0.015316009521484375,Boston,OracleCP,RLM,1,-1.8148543723369617
0.89,2.800475681826856,1.223222017288208,Boston,OracleCP,RLM,100,0.08750528952388403
1.0,2.8554651550549686,0.8974878787994385,Boston,FullCP,RLM,1,-0.04697140816030163
0.87,2.777314350852362,74.04325604438782,Boston,FullCP,RLM,100,1.869485508554907
0.0,2.773108206524944,0.011844158172607422,Boston,SplitCP,RLM,1,-1.9264958014657927
0.92,3.425512497989411,0.009304046630859375,Boston,SplitCP,RLM,100,-2.031328121637931
1.0,2.8787991737321006,0.01499795913696289,Boston,RO-StabCP,RLM,1,-1.8239678340014602
0.88,2.814569539651926,1.2123680114746094,Boston,RO-StabCP,RLM,100,0.08363446891685083
1.0,2.8733425644195094,0.014844894409179688,Boston,LOO-StabCP,RLM,1,-1.8284228871668717
0.88,2.813288397820305,0.014739990234375,Boston,LOO-StabCP,RLM,100,-1.8315028042082058
1.0,2.8414020038838137,0.015375137329101562,Boston,OracleCP,RLM,1,-1.8131809964628118
0.87,2.797963751601122,1.208263874053955,Boston,OracleCP,RLM,100,0.0821617906848931
1.0,2.8573699069022327,0.8860538005828857,Boston,FullCP,RLM,1,-0.05253990724738077
0.86,2.7383701991393297,75.0463752746582,Boston,FullCP,RLM,100,1.8753297207467712
1.0,2.78922538535231,0.010899066925048828,Boston,SplitCP,RLM,1,-1.9626106806509314
0.86,2.73463129823318,0.009654045104980469,Boston,SplitCP,RLM,100,-2.0152906764311074
1.0,2.861803015071016,0.014799118041992188,Boston,RO-StabCP,RLM,1,-1.8297641657475572
0.87,2.8216500248092564,1.2329857349395752,Boston,RO-StabCP,RLM,100,0.09095805204353022
1.0,2.861857391380879,0.014651775360107422,Boston,LOO-StabCP,RLM,1,-1.8341097485260327
0.87,2.8199818995606085,0.01590108871459961,Boston,LOO-StabCP,RLM,100,-1.798573139418164
1.0,2.8414020038837995,0.015333890914916992,Boston,OracleCP,RLM,1,-1.8143476306335942
0.93,2.8847938103527575,1.2368638515472412,Boston,OracleCP,RLM,100,0.09232189706167093
1.0,2.787601830642065,0.9016637802124023,Boston,FullCP,RLM,1,-0.044955375561546385
0.89,2.83058282673176,74.36602687835693,Boston,FullCP,RLM,100,1.8713745792433183
1.0,2.8982885924956947,0.010977745056152344,Boston,SplitCP,RLM,1,-1.959486859361645
0.91,2.8236485763128876,0.009509801864624023,Boston,SplitCP,RLM,100,-2.0218285314323925
1.0,2.8613893703719735,0.01474905014038086,Boston,RO-StabCP,RLM,1,-1.831235947962041
0.93,2.902269553438023,1.206550121307373,Boston,RO-StabCP,RLM,100,0.08154536764977074
1.0,2.861671100033151,0.014713048934936523,Boston,LOO-StabCP,RLM,1,-1.8322973205823896
0.93,2.9015760203357854,0.014688968658447266,Boston,LOO-StabCP,RLM,100,-1.8330086958141767
1.0,2.841402003883829,0.015663862228393555,Boston,OracleCP,RLM,1,-1.8051011453641992
0.89,2.83249090906755,1.2154052257537842,Boston,OracleCP,RLM,100,0.08472109930696424
1.0,2.787662116547634,0.9111809730529785,Boston,FullCP,RLM,1,-0.040395357612421676
0.87,2.7710344679106287,97.75666093826294,Boston,FullCP,RLM,100,1.9901463590108674
1.0,2.4505679318364866,0.010784149169921875,Boston,SplitCP,RLM,1,-1.967214113462142
0.9,2.980478678673897,0.013137102127075195,Boston,SplitCP,RLM,100,-1.8815004238948034
1.0,2.8527801264702566,0.014594793319702148,Boston,RO-StabCP,RLM,1,-1.8358020507786341
0.89,2.854309205081226,1.6399612426757812,Boston,RO-StabCP,RLM,100,0.21483358445566314
1.0,2.856109049835344,0.014585018157958984,Boston,LOO-StabCP,RLM,1,-1.836093025856854
0.89,2.8530178342564163,0.015451192855834961,Boston,LOO-StabCP,RLM,100,-1.811037986743408
1.0,2.8414020038838297,0.015566110610961914,Boston,OracleCP,RLM,1,-1.8078198878304752
0.9,2.8557135141975336,1.6786727905273438,Boston,OracleCP,RLM,100,0.22496605104144982
1.0,2.787743709802249,0.9024229049682617,Boston,FullCP,RLM,1,-0.0445898901170702
0.9,2.799387466198989,103.5810980796814,Boston,FullCP,RLM,100,2.015280510731098
1.0,2.4246753212916357,0.010928153991699219,Boston,SplitCP,RLM,1,-1.9614531938534256
0.83,2.519676265876423,0.010316848754882812,Boston,SplitCP,RLM,100,-1.9864529361735783
1.0,2.854869978467071,0.01470804214477539,Boston,RO-StabCP,RLM,1,-1.832445134363607
0.9,2.8825750916801645,1.7150170803070068,Boston,RO-StabCP,RLM,100,0.23426844965350874
1.0,2.857420036823813,0.014708280563354492,Boston,LOO-StabCP,RLM,1,-1.83243809447121
0.9,2.881658968683152,0.015614986419677734,Boston,LOO-StabCP,RLM,100,-1.8064583891386552
1.0,2.8414020038837773,0.015727996826171875,Boston,OracleCP,RLM,1,-1.803326587150303
0.94,2.897017321876908,1.6655209064483643,Boston,OracleCP,RLM,100,0.22155008854216107
1.0,2.8573356811743267,0.9047210216522217,Boston,FullCP,RLM,1,-0.04348531851330772
0.93,2.878391751919744,106.63586211204529,Boston,FullCP,RLM,100,2.027903284410571
1.0,2.594364901795914,0.011304140090942383,Boston,SplitCP,RLM,1,-1.9467624689632625
0.95,3.115366156865536,0.018668174743652344,Boston,SplitCP,RLM,100,-1.7288981425496428
1.0,2.851809203719928,0.014715194702148438,Boston,RO-StabCP,RLM,1,-1.8322339872164757
0.94,2.9134213208762367,1.8368940353393555,Boston,RO-StabCP,RLM,100,0.2640841039406803
1.0,2.85547841964284,0.014796018600463867,Boston,LOO-StabCP,RLM,1,-1.8298551313932925
0.94,2.912221962362107,0.05884385108947754,Boston,LOO-StabCP,RLM,100,-1.230298912216111
1.0,2.84140200388379,0.01551675796508789,Boston,OracleCP,RLM,1,-1.8091990140671412
0.93,2.896575809455324,1.8857650756835938,Boston,OracleCP,RLM,100,0.2754875883540559
1.0,2.7873344692932833,0.9018659591674805,Boston,FullCP,RLM,1,-0.044858005162824385
0.93,2.861398240744053,105.31594491004944,Boston,FullCP,RLM,100,2.0224941286613993
1.0,2.628396156735481,0.010904073715209961,Boston,SplitCP,RLM,1,-1.9624112211865243
0.93,2.9741434107678377,0.019160747528076172,Boston,SplitCP,RLM,100,-1.7175875515734633
1.0,2.8734908708213007,0.01481485366821289,Boston,RO-StabCP,RLM,1,-1.8293026338499123
0.93,2.9153682272612924,1.8137660026550293,Boston,RO-StabCP,RLM,100,0.2585812571944434
1.0,2.869288758533161,0.01474308967590332,Boston,LOO-StabCP,RLM,1,-1.8314114928281338
0.93,2.9136013146188664,0.023991107940673828,Boston,LOO-StabCP,RLM,100,-1.6199496952831005
1.0,2.841402003883811,0.01578688621520996,Boston,OracleCP,RLM,1,-1.801703521220729
0.92,2.883554923559501,1.7580647468566895,Boston,OracleCP,RLM,100,0.24503486543899353
1.0,2.787743677179641,0.9001390933990479,Boston,FullCP,RLM,1,-0.045690376307096194
0.92,2.8192526205858557,106.06099915504456,Boston,FullCP,RLM,100,2.0255557141032914
1.0,2.4120629410092818,0.010843992233276367,Boston,SplitCP,RLM,1,-1.964810802143417
0.92,2.8383707961279026,0.011871099472045898,Boston,SplitCP,RLM,100,-1.9255090558954788
1.0,2.8536077257463437,0.014720916748046875,Boston,RO-StabCP,RLM,1,-1.8320651433802648
0.92,2.902595370619683,1.6959772109985352,Boston,RO-StabCP,RLM,100,0.2294200123050828
1.0,2.8566347160560572,0.015146970748901367,Boston,LOO-StabCP,RLM,1,-1.8196742132725776
0.92,2.9016449759149583,0.02844691276550293,Boston,LOO-StabCP,RLM,100,-1.5459648590284194
1.0,2.8414020038838235,0.015573978424072266,Boston,OracleCP,RLM,1,-1.8076004313037237
0.93,2.886069659855016,1.8303508758544922,Boston,OracleCP,RLM,100,0.2625343513919882
1.0,2.787375093847596,0.9192070960998535,Boston,FullCP,RLM,1,-0.03658663163796755
0.92,2.8427669224210512,109.29400587081909,Boston,FullCP,RLM,100,2.038596344121603
1.0,2.8413527233604925,0.011621952056884766,Boston,SplitCP,RLM,1,-1.9347209204540634
0.92,2.855727165711733,0.012406110763549805,Boston,SplitCP,RLM,100,-1.9063643457098451
1.0,2.883135143012674,0.01505899429321289,Boston,RO-StabCP,RLM,1,-1.822204031288874
0.93,2.902033127994956,1.9199879169464111,Boston,RO-StabCP,RLM,100,0.2832984955681275
1.0,2.8752337939074564,0.014845848083496094,Boston,LOO-StabCP,RLM,1,-1.8283949878650343
0.93,2.9017922195960177,0.015612125396728516,Boston,LOO-StabCP,RLM,100,-1.8065379691196812
1.0,2.841402003883756,0.015526771545410156,Boston,OracleCP,RLM,1,-1.8089188369804854
0.89,2.8297211380535594,1.8368580341339111,Boston,OracleCP,RLM,100,0.26407559213881066
1.0,2.7877424408943448,0.9331467151641846,Boston,FullCP,RLM,1,-0.03005006838971057
0.87,2.7723757725515052,109.62937998771667,Boston,FullCP,RLM,100,2.039926957949892
1.0,3.120531990418095,0.010950088500976562,Boston,SplitCP,RLM,1,-1.9605823707480234
0.92,3.1805400673021644,0.010119915008544922,Boston,SplitCP,RLM,100,-1.994823134875167
1.0,2.8561166946486884,0.014796972274780273,Boston,RO-StabCP,RLM,1,-1.8298271399344341
0.89,2.852583937524723,1.7336909770965576,Boston,RO-StabCP,RLM,100,0.238971688929154
1.0,2.858176493977945,0.014866113662719727,Boston,LOO-StabCP,RLM,1,-1.827802551009508
0.89,2.8506191862360692,0.015732288360595703,Boston,LOO-StabCP,RLM,100,-1.8032081019096473
1.0,2.8414020038838044,0.0158998966217041,Boston,OracleCP,RLM,1,-1.798605699375738
0.91,2.8603144990518183,1.7170298099517822,Boston,OracleCP,RLM,100,0.23477783516393433
1.0,2.785873419614799,0.9384298324584961,Boston,FullCP,RLM,1,-0.027598194556029864
0.91,2.8115546560170697,110.63325309753418,Boston,FullCP,RLM,100,2.043885682720781
1.0,2.896147912542436,0.011432170867919922,Boston,SplitCP,RLM,1,-1.941871293100904
0.91,3.0077645161204845,0.016979217529296875,Boston,SplitCP,RLM,100,-1.770082327669139
1.0,2.895947723235387,0.015584945678710938,Boston,RO-StabCP,RLM,1,-1.8072947071168304
0.91,2.8739556820347785,1.7307519912719727,Boston,RO-StabCP,RLM,100,0.2382348399500532
1.0,2.8852093431012342,0.015346288681030273,Boston,LOO-StabCP,RLM,1,-1.81399663648852
0.91,2.873235571342509,0.016031980514526367,Boston,LOO-StabCP,RLM,100,-1.795012823659581
1.0,2.84140200388379,0.01540684700012207,Boston,OracleCP,RLM,1,-1.8122862302338911
0.91,2.8604275516619153,1.8699398040771484,Boston,OracleCP,RLM,100,0.27182762622745693
1.0,2.787531192848798,0.9185750484466553,Boston,FullCP,RLM,1,-0.03688535564039718
0.91,2.811983665699754,108.22000002861023,Boston,FullCP,RLM,100,2.034307529711378
1.0,2.398531908643297,0.01396489143371582,Boston,SplitCP,RLM,1,-1.8549624362552366
0.9,2.756813848502461,0.009804964065551758,Boston,SplitCP,RLM,100,-2.0085539936495556
1.0,2.8780230939414513,0.016310930252075195,Boston,RO-StabCP,RLM,1,-1.7875212693814182
0.91,2.8731001722182583,1.7415237426757812,Boston,RO-StabCP,RLM,100,0.24092939969163585
1.0,2.8718717787660912,0.015374898910522461,Boston,LOO-StabCP,RLM,1,-1.8131877310157394
0.91,2.872871823578121,0.028198957443237305,Boston,LOO-StabCP,RLM,100,-1.5497669478869833
1.0,2.8414020038838137,0.015684127807617188,Boston,OracleCP,RLM,1,-1.804539627356482
0.91,2.867970036172537,1.814263105392456,Boston,OracleCP,RLM,100,0.2587002689061607
1.0,2.787720419175581,0.9591906070709229,Boston,FullCP,RLM,1,-0.0180950827420272
0.9,2.8231673732776232,105.13222599029541,Boston,FullCP,RLM,100,2.0217358599342523
1.0,2.682834178055691,0.012627840042114258,Boston,SplitCP,RLM,1,-1.8986709279888079
0.9,2.776378054352251,0.011675834655761719,Boston,SplitCP,RLM,100,-1.9327120637866906
1.0,2.8751661083313964,0.01671767234802246,Boston,RO-StabCP,RLM,1,-1.7768241908192963
0.91,2.8812119879148166,1.7525765895843506,Boston,RO-StabCP,RLM,100,0.24367700621475397
1.0,2.8698339577636034,0.016392946243286133,Boston,LOO-StabCP,RLM,1,-1.785342985281765
0.91,2.880596973401682,0.016247034072875977,Boston,LOO-StabCP,RLM,100,-1.789225908737279
1.0,2.8414020038838177,0.015404939651489258,Boston,OracleCP,RLM,1,-1.812339998682746
0.88,2.8029168332987435,1.9202032089233398,Boston,OracleCP,RLM,100,0.28334719112239104
1.0,2.787741026869628,0.9025349617004395,Boston,FullCP,RLM,1,-0.044535965733120735
0.87,2.7562562265018458,108.45779490470886,Boston,FullCP,RLM,100,2.0352607703884624
1.0,2.8467599827570105,0.010854959487915039,Boston,SplitCP,RLM,1,-1.9643717930486013
0.87,2.7715095383457578,0.02821516990661621,Boston,SplitCP,RLM,100,-1.549517330143765
1.0,2.8579741759280752,0.014697074890136719,Boston,RO-StabCP,RLM,1,-1.8327690928356242
0.88,2.8184271829323033,1.836604118347168,Boston,RO-StabCP,RLM,100,0.2640155538312692
1.0,2.859246292467866,0.014639139175415039,Boston,LOO-StabCP,RLM,1,-1.8344844603239863
0.88,2.817396322959071,0.03814411163330078,Boston,LOO-StabCP,RLM,100,-1.4185724952593186
1.0,2.841402003883789,0.015347003936767578,Boston,OracleCP,RLM,1,-1.813976395478617
0.89,2.834599671522185,1.8140509128570557,Boston,OracleCP,RLM,100,0.258649471733222
1.0,2.7877082790005234,0.9423902034759521,Boston,FullCP,RLM,1,-0.025769237198792073
0.88,2.775875462607419,107.75295519828796,Boston,FullCP,RLM,100,2.032429189818475
1.0,2.800039875897807,0.011797904968261719,Boston,SplitCP,RLM,1,-1.928195106380616
0.86,2.593999477224929,0.021647930145263672,Boston,SplitCP,RLM,100,-1.6645836221496058
1.0,2.855795421619111,0.015153884887695312,Boston,RO-StabCP,RLM,1,-1.8194760160722443
0.89,2.857346870955368,1.7388958930969238,Boston,RO-StabCP,RLM,100,0.24027358176869898
1.0,2.857908677344621,0.015028953552246094,Boston,LOO-StabCP,RLM,1,-1.8230712577568529
0.89,2.855515624521498,0.024531841278076172,Boston,LOO-StabCP,RLM,100,-1.610269853876876
1.0,2.8414020038838297,0.015486001968383789,Boston,OracleCP,RLM,1,-1.810060689870488
0.91,2.8687542679093627,1.702082872390747,Boston,OracleCP,RLM,100,0.2309807015451668
1.0,2.7869863656665266,0.9939072132110596,Boston,FullCP,RLM,1,-0.0026541575255609683
0.91,2.822166909009328,106.86394381523132,Boston,FullCP,RLM,100,2.0288311977861273
1.0,3.124809635295202,0.012458086013793945,Boston,SplitCP,RLM,1,-1.904548674971982
0.91,2.8382911523933263,0.01042795181274414,Boston,SplitCP,RLM,100,-1.9818009843609843
1.0,2.868328311347276,0.016957998275756836,Boston,RO-StabCP,RLM,1,-1.7706254132290367
0.91,2.886486351084952,1.7363917827606201,Boston,RO-StabCP,RLM,100,0.23964772193159933
1.0,2.8661137382803394,0.01812911033630371,Boston,LOO-StabCP,RLM,1,-1.7416235078468165
0.91,2.884062026497769,0.015702009201049805,Boston,LOO-StabCP,RLM,100,-1.804044772488895
1.0,2.841402003883807,0.015351057052612305,Boston,OracleCP,RLM,1,-1.8138617142382145
0.89,2.801288676589136,1.9048068523406982,Boston,OracleCP,RLM,100,0.2798509447279871
1.0,2.787200300122384,0.9225268363952637,Boston,FullCP,RLM,1,-0.03502099131648524
0.88,2.7704710548823392,119.80510687828064,Boston,FullCP,RLM,100,2.0784753309229576
1.0,2.499257170157103,0.012079238891601562,Boston,SplitCP,RLM,1,-1.917960429588324
0.89,2.92634273169794,0.01013493537902832,Boston,SplitCP,RLM,100,-1.9941790160504878
1.0,2.867430075008101,0.01654195785522461,Boston,RO-StabCP,RLM,1,-1.781413089982999
0.88,2.81406059622714,1.736496925354004,Boston,RO-StabCP,RLM,100,0.23967401868451677
1.0,2.8656359292413867,0.016347169876098633,Boston,LOO-StabCP,RLM,1,-1.7865574242625744
0.88,2.8135894632514713,0.016582012176513672,Boston,LOO-StabCP,RLM,100,-1.780362770279521
1.0,2.8414020038837844,0.016109704971313477,Boston,OracleCP,RLM,1,-1.7929124130571206
0.9,2.856930754082469,1.732741117477417,Boston,OracleCP,RLM,100,0.2387336812081051
1.0,2.7872697605862653,0.9375269412994385,Boston,FullCP,RLM,1,-0.02801624329137488
0.9,2.8043939072776265,104.89441895484924,Boston,FullCP,RLM,100,2.020752381600686
1.0,2.9360289804653856,0.014255762100219727,Boston,SplitCP,RLM,1,-1.846009560741537
0.88,2.582486493051952,0.0231020450592041,Boston,SplitCP,RLM,100,-1.6363495734145568
1.0,2.8719762115143714,0.017527103424072266,Boston,RO-StabCP,RLM,1,-1.7562898506422913
0.9,2.8829704209238014,1.6907382011413574,Boston,RO-StabCP,RLM,100,0.22807636537309775
1.0,2.86848584036219,0.016176939010620117,Boston,LOO-StabCP,RLM,1,-1.791103651856023
0.9,2.8829868000134087,0.016019105911254883,Boston,LOO-StabCP,RLM,100,-1.795361727243313
1.0,2.841402003883779,0.015883207321166992,Boston,OracleCP,RLM,1,-1.7990617952818704
0.95,2.9088896575293997,1.6448359489440918,Boston,OracleCP,RLM,100,0.21612258920321567
1.0,2.7877336004807214,0.9288418292999268,Boston,FullCP,RLM,1,-0.032058234887606576
0.94,2.8972868569976957,102.38765573501587,Boston,FullCP,RLM,100,2.0102475995174744
1.0,2.9932758465886353,0.010740995407104492,Boston,SplitCP,RLM,1,-1.9689554691224305
0.98,4.124518776364038,0.015372991561889648,Boston,SplitCP,RLM,100,-1.8132416111990386
1.0,2.8722821462659858,0.015376806259155273,Boston,RO-StabCP,RLM,1,-1.8131338575161862
0.94,2.9290120595446787,1.663081169128418,Boston,RO-StabCP,RLM,100,0.22091344611928646
1.0,2.8682101199515424,0.01547694206237793,Boston,LOO-StabCP,RLM,1,-1.8103148431766654
0.94,2.9274724820831266,0.015960693359375,Boston,LOO-StabCP,RLM,100,-1.7969482460924437
1.0,2.841402003883816,0.016981124877929688,Boston,OracleCP,RLM,1,-1.7700335442395
0.89,2.842879353822704,1.69864821434021,Boston,OracleCP,RLM,100,0.23010344691507778
1.0,2.7872425466782538,0.9267802238464355,Boston,FullCP,RLM,1,-0.033023242001182264
0.88,2.77882028484117,105.22950911521912,Boston,FullCP,RLM,100,2.022137544464259
1.0,2.9795176457870713,0.010872125625610352,Boston,SplitCP,RLM,1,-1.9636855380457836
0.86,2.6544651042865675,0.010279178619384766,Boston,SplitCP,RLM,100,-1.9880415872201842
1.0,2.8603796443741696,0.01472783088684082,Boston,RO-StabCP,RLM,1,-1.8318612112865997
0.89,2.864726171898677,1.7720937728881836,Boston,RO-StabCP,RLM,100,0.2484866994756138
1.0,2.8607226234459944,0.014747858047485352,Boston,LOO-StabCP,RLM,1,-1.8312710512592014
0.89,2.8636183763888727,0.01585984230041504,Boston,LOO-StabCP,RLM,100,-1.7997011353286323
1.0,2.841402003883763,0.015460014343261719,Boston,OracleCP,RLM,1,-1.8107901074942445
0.86,2.7886422515246885,1.6801941394805908,Boston,OracleCP,RLM,100,0.22535946555556682
1.0,2.8570949760442983,0.9160699844360352,Boston,FullCP,RLM,1,-0.038071346535894925
0.86,2.7296566694004714,105.64342188835144,Boston,FullCP,RLM,100,2.0238424599635145
1.0,2.537510262923539,0.010838747024536133,Boston,SplitCP,RLM,1,-1.9650209199915047
0.88,2.929603822385836,0.009795904159545898,Boston,SplitCP,RLM,100,-2.008955472545279
1.0,2.8536150234123396,0.014961004257202148,Boston,RO-StabCP,RLM,1,-1.8250392534820576
0.86,2.8107194537178226,1.7181689739227295,Boston,RO-StabCP,RLM,100,0.23506587243678315
1.0,2.8566557757817037,0.014827966690063477,Boston,LOO-StabCP,RLM,1,-1.8289183982519879
0.86,2.809289304167671,0.01594090461730957,Boston,LOO-StabCP,RLM,100,-1.7974870368195657
0.0,2.8414020038838137,0.01540684700012207,Boston,OracleCP,RLM,1,-1.8122862302338911
0.95,2.9432663190943473,1.6843252182006836,Boston,OracleCP,RLM,100,0.2264259510789362
0.0,2.783026140812195,0.9008231163024902,Boston,FullCP,RLM,1,-0.045360477783801555
0.94,2.893460162683072,104.63859581947327,Boston,FullCP,RLM,100,2.0196919030755085
0.0,2.5259392577246476,0.010432958602905273,Boston,SplitCP,RLM,1,-1.9815925158581764
0.95,3.3950161551550684,0.020306825637817383,Boston,SplitCP,RLM,100,-1.6923579601858298
0.0,2.8505481153778787,0.014709949493408203,Boston,RO-StabCP,RLM,1,-1.8323888184194292
0.95,2.963673599648039,1.7087998390197754,Boston,RO-StabCP,RLM,100,0.23269119443505734
0.0,2.849791285771598,0.014639854431152344,Boston,LOO-StabCP,RLM,1,-1.8344632415878441
0.95,2.962299089435607,0.028715848922729492,Boston,LOO-StabCP,RLM,100,-1.5418783402044316
0.0,2.8414020038838417,0.014770269393920898,Boston,OracleCP,RLM,1,-1.8306115835488255
0.93,2.8834914351998266,1.7243459224700928,Boston,OracleCP,RLM,100,0.23662439440621982
0.0,2.784395466145737,0.8994932174682617,Boston,FullCP,RLM,1,-0.04600210705685428
0.92,2.8382374117522455,103.25060296058655,Boston,FullCP,RLM,100,2.01389259651915
0.0,2.8718732431677396,0.010896921157836914,Boston,SplitCP,RLM,1,-1.9626961913292316
0.93,2.9263332935923754,0.010122060775756836,Boston,SplitCP,RLM,100,-1.9947310593907377
0.0,2.846763013758989,0.014679908752441406,Boston,RO-StabCP,RLM,1,-1.8332766439045767
0.93,2.9010355722498553,1.718792200088501,Boston,RO-StabCP,RLM,100,0.23522337417976788
0.0,2.8469163652912113,0.01468205451965332,Boston,LOO-StabCP,RLM,1,-1.833213167572793
0.93,2.8998552107449225,0.02472400665283203,Boston,LOO-StabCP,RLM,100,-1.6068811482185454
1.0,2.8414020038838412,0.015397787094116211,Boston,OracleCP,RLM,1,-1.812541689674592
0.86,2.7919220953149595,1.7245590686798096,Boston,OracleCP,RLM,100,0.2366780741817277
1.0,2.8573797592218257,0.8805451393127441,Boston,FullCP,RLM,1,-0.05524837592389306
0.85,2.732855271072889,105.33889603614807,Boston,FullCP,RLM,100,2.022588762588754
